MNDR ID	ncRNA Symbol	ncRNA Category	Species	Disease	DO ID	MeSH ID	References	Score
MNDR-E-CIRC-1762	hsa_circ_0047460	circRNA	Homo sapiens	Acute kidney injury	DOID:3021	D058186	30197981	0.795006
MNDR-E-CIRC-1763	hsa_circ_0047603	circRNA	Homo sapiens	Hepatocellular cancer	DOID:3571	D008113	29844683	0.999986
MNDR-E-CIRC-1764	hsa_circ_0047688	circRNA	Homo sapiens	Glioma	DOID:3070	D005910	31992303	0.795006
MNDR-E-CIRC-1765	hsa_circ_0047905	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	28980874	1
MNDR-E-CIRC-1765	hsa_circ_0047905	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	31157588	1
MNDR-E-CIRC-1766	hsa_circ_0047919	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1767	hsa_circ_0047925	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1768	hsa_circ_0047931	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1769	hsa_circ_0047949	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1770	hsa_circ_0047950	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1771	hsa_circ_0048121	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1772	hsa_circ_0048141	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1773	hsa_circ_0048145	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1774	hsa_circ_0048147	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1775	hsa_circ_0048148	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1776	hsa_circ_0048466	circRNA	Homo sapiens	Breast cancer	DOID:1612	D001943	32368305	0.982118
MNDR-E-CIRC-1777	hsa_circ_0048467	circRNA	Homo sapiens	Acute kidney injury	DOID:3021	D058186	30197981	0.795006
MNDR-E-CIRC-1778	hsa_circ_0048579	circRNA	Homo sapiens	Pancreatic cancer	DOID:1793	D010190	30570107	0.999424
MNDR-E-CIRC-1779	hsa_circ_0048665	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1780	hsa_circ_0048666	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1781	hsa_circ_0048667	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1782	hsa_circ_0048668	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1783	hsa_circ_0048672	circRNA	Homo sapiens	Oral squamous cell carcinoma	DOID:0050866		31570856	0.795006
